Method,Name,Error,Occurrences
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=192,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user176&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user176&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=2,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=3&category=2'),69
POST,/tools.descartes.teastore.webui/loginAction?username=user431&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user431&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user86&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user86&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user218&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user218&password=password'),3
POST,/tools.descartes.teastore.webui/loginAction?username=user336&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user336&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user489&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user489&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user363&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user363&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user103&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user103&password=password'),3
